date_of_measurement,TVD_Nr,Birth,sex,breed,horns,horizontal,vertical,frontal_bone,bone_form,bone_form_curvature,other,age
22/04/13,710610058446,13/08/1998,w,Rotfleckvieh,yes,27.00,19.50,14.00,A,A,nichts,17.28
06/05/13,111080018242,14/10/1998,w,Braunvieh,no,26.50,18.00,9.00,B,B,nichts,17.11
22/04/13,110178134109,01/10/1999,w,Braunvieh,yes,29.00,18.00,10.50,C,C,nichts,16.15
22/04/13,120001182849,21/10/1999,w,Braunvieh,yes,30.00,18.00,14.00,C,C,Fett,16.09
06/05/13,900002052019,24/11/1999,w,"NA: M. Angus, V. unbekannt",no,26.00,17.00,8.00,B,E,nichts,16.00
25/03/13,120002551361,09/12/1999,w,Rotfleckvieh,no,28.00,18.80,NA,C,C,Fell,15.96
25/03/13,120003199418,16/12/2000,w,Rotfleckvieh,no,26.20,17.30,NA,B,B,Fell,14.94
22/04/13,120014448550,31/01/2001,w,Braunvieh,yes,31.00,18.00,13.00,B,B,nichts,14.81
25/03/13,120003783129,28/02/2001,w,Braunvieh,yes,27.40,20.20,14.00,B,B,nichts,14.74
22/04/13,120017608739,16/05/2001,w,Braunvieh,no,30.00,20.00,7.00,B,B,nichts,14.52
25/03/13,120020368996,15/10/2001,w,Rotfleckvieh,yes,28.00,19.00,16.00,B,B,Fell,14.11
22/04/13,120014710862,20/10/2001,w,Braunvieh,no,30.00,18.00,10.00,B,E,nichts,14.09
22/04/13,120018474845,13/11/2001,w,Braunvieh,yes,30.00,17.50,10.00,B,B,nichts,14.03
22/04/13,120020217263,24/11/2001,w,Rotfleckvieh,yes,27.00,17.00,14.00,C,C,nichts,14.00
06/05/13,120006571631,09/03/2002,w,Braunvieh,yes,27.00,18.00,12.00,A,A,nichts,13.71
25/03/13,120019184217,29/03/2002,w,Rotfleckvieh,yes,27.50,19.00,15.00,C,C,nichts,13.66
06/05/13,120026189540,04/04/2002,w,Braunvieh,no,28.00,17.00,4.00,B,E,Kante,13.64
25/03/13,120022717389,14/05/2002,w,"M. Holstein, V. unbekannt",yes,27.00,17.90,15.00,B,E,nichts,13.53
06/05/13,120025403197,20/08/2002,w,Braunvieh,no,28.00,18.50,11.00,C,F,nichts,13.26
25/03/13,120026515219,03/09/2002,w,Braunvieh,yes,28.00,18.20,15.00,A,A,Fell,13.22
22/04/13,120028149276,03/09/2002,w,Braunvieh,yes,30.00,20.00,11.00,C,C,nichts,13.22
